z_py_1,z_py_2,z_py_3,z_py_4,z_py_5,z_py_6,z_py_7,z_py_8,n_outpatvisit_1yr_c3.,age_indexD,erace2Black,Na_1yr,bilirubin_1yr,platelet_1yr_50units,albumin_1yr,hemoglobin_1yr,AST_ALT_1yr_ratio_c..2,CirCom_score_factor1,CirCom_score_factor2,CirCom_score_factor3,CirCom_score_factor4,CirCom_score_factor5,CirCom_score_factor6,pre_he_anyT,pre_ascites_anyT,pre_hcc_anyT
0.032219143,0.032111707,0.032117672,0.0321201,0.032121952,0.032135916,0.032144324,0.032131522,-0.000194804,-1.09E-05,1.96E-05,-0.000221258,-6.67E-05,-5.73E-05,9.66E-05,-4.86E-05,-0.000302639,-0.000173533,-0.000195938,-9.75E-06,-8.74E-05,-2.04E-05,-0.000149834,-6.59E-06,-0.000259001,-3.63E-05
0.032111707,0.03221718,0.032137597,0.032140581,0.032142966,0.032157443,0.032166347,0.032153587,-0.000196617,-1.06E-05,1.88E-05,-0.000221434,-6.60E-05,-5.72E-05,9.31E-05,-4.91E-05,-0.000300065,-0.000172517,-0.000194282,-9.56E-06,-8.40E-05,-8.55E-06,-0.000131973,-5.77E-06,-0.000256884,-2.91E-05
0.032117672,0.032137597,0.03226126,0.032148332,0.032150995,0.032165726,0.032174848,0.032161995,-0.000197077,-1.04E-05,1.84E-05,-0.00022149,-6.57E-05,-5.73E-05,9.13E-05,-4.94E-05,-0.000298824,-0.000172147,-0.000193525,-9.02E-06,-8.23E-05,-2.07E-06,-0.000125976,-4.95E-06,-0.000255391,-2.42E-05
0.0321201,0.032140581,0.032148332,0.032297103,0.032154686,0.032169595,0.032178851,0.0321659,-0.000197874,-1.03E-05,1.80E-05,-0.000221515,-6.57E-05,-5.77E-05,8.99E-05,-4.95E-05,-0.000298057,-0.000171546,-0.000192435,-8.93E-06,-8.06E-05,-6.84E-08,-0.000123437,-4.07E-06,-0.000254799,-2.07E-05
0.032121952,0.032142966,0.032150995,0.032154686,0.032350487,0.032172887,0.032182339,0.032169435,-0.000198877,-1.02E-05,1.79E-05,-0.000221552,-6.57E-05,-5.78E-05,8.84E-05,-4.97E-05,-0.000297496,-0.000170516,-0.000190827,-8.83E-06,-7.84E-05,9.19E-07,-0.000121775,-3.29E-06,-0.000254886,-1.84E-05
0.032135916,0.032157443,0.032165726,0.032169595,0.032172887,0.03246849,0.032197927,0.032185174,-0.000200209,-1.00E-05,1.79E-05,-0.00022167,-6.57E-05,-5.77E-05,8.68E-05,-4.99E-05,-0.000297072,-0.0001697,-0.000189184,-8.85E-06,-7.66E-05,-2.64E-06,-0.000120404,-2.97E-06,-0.000255455,-1.75E-05
0.032144324,0.032166347,0.032174848,0.032178851,0.032182339,0.032197927,0.032665393,0.032195582,-0.000203308,-9.89E-06,1.79E-05,-0.000221726,-6.56E-05,-5.74E-05,8.52E-05,-5.03E-05,-0.000296557,-0.000168932,-0.000187754,-8.77E-06,-7.46E-05,1.18E-06,-0.000117997,-2.76E-06,-0.000257703,-1.83E-05
0.032131522,0.032153587,0.032161995,0.0321659,0.032169435,0.032185174,0.032195582,0.033459373,-0.000213058,-9.75E-06,1.86E-05,-0.000221626,-6.55E-05,-5.59E-05,8.45E-05,-5.05E-05,-0.000296348,-0.000168322,-0.000185837,-7.96E-06,-7.37E-05,4.27E-06,-0.000116385,-4.73E-06,-0.000263467,-2.47E-05
-0.000194804,-0.000196617,-0.000197077,-0.000197874,-0.000198877,-0.000200209,-0.000203308,-0.000213058,0.000286805,-2.21E-07,-8.45E-06,-2.44E-07,1.52E-06,8.18E-07,1.08E-06,1.19E-06,1.10E-05,-3.66E-05,-5.15E-05,-3.74E-05,-5.40E-05,-3.88E-05,-5.75E-05,-6.25E-06,1.81E-06,-1.14E-05
-1.09E-05,-1.06E-05,-1.04E-05,-1.03E-05,-1.02E-05,-1.00E-05,-9.89E-06,-9.75E-06,-2.21E-07,2.89E-07,7.46E-07,-6.30E-08,4.12E-08,-8.71E-08,-3.01E-07,1.29E-07,3.79E-07,6.30E-07,4.02E-07,-1.31E-06,-6.81E-07,2.51E-07,-1.10E-07,2.40E-07,3.16E-07,-1.63E-07
1.96E-05,1.88E-05,1.84E-05,1.80E-05,1.79E-05,1.79E-05,1.79E-05,1.86E-05,-8.45E-06,7.46E-07,0.000150366,-8.56E-07,6.53E-07,-2.04E-06,5.82E-06,1.73E-06,-3.77E-06,-5.39E-06,-1.62E-06,-5.00E-06,-1.37E-05,-2.81E-06,-3.37E-06,4.02E-06,9.36E-06,-1.41E-05
-0.000221258,-0.000221434,-0.00022149,-0.000221515,-0.000221552,-0.00022167,-0.000221726,-0.000221626,-2.44E-07,-6.30E-08,-8.56E-07,1.67E-06,3.64E-07,2.88E-07,-1.53E-06,-8.12E-08,1.07E-06,3.68E-07,7.21E-07,-7.64E-08,1.10E-07,-5.16E-07,2.33E-07,-4.40E-07,9.76E-07,3.03E-07
-6.67E-05,-6.60E-05,-6.57E-05,-6.57E-05,-6.57E-05,-6.57E-05,-6.56E-05,-6.55E-05,1.52E-06,4.12E-08,6.53E-07,3.64E-07,2.92E-06,-1.19E-07,2.62E-06,-2.55E-07,-2.61E-06,9.53E-07,1.86E-06,3.42E-07,1.72E-06,1.58E-06,1.53E-06,1.43E-06,1.29E-06,1.71E-06
-5.73E-05,-5.72E-05,-5.73E-05,-5.77E-05,-5.78E-05,-5.77E-05,-5.74E-05,-5.59E-05,8.18E-07,-8.71E-08,-2.04E-06,2.88E-07,-1.19E-07,7.12E-06,-1.07E-06,4.44E-07,1.88E-06,-1.78E-07,-2.54E-06,-2.10E-06,-3.24E-06,-5.31E-06,-6.59E-06,-2.10E-06,3.44E-07,8.47E-07
9.66E-05,9.31E-05,9.13E-05,8.99E-05,8.84E-05,8.68E-05,8.52E-05,8.45E-05,1.08E-06,-3.01E-07,5.82E-06,-1.53E-06,2.62E-06,-1.07E-06,7.21E-05,-9.05E-06,1.51E-05,2.62E-06,3.56E-06,-2.41E-06,1.10E-07,-1.64E-06,2.86E-06,5.91E-06,1.37E-05,1.65E-06
-4.86E-05,-4.91E-05,-4.94E-05,-4.95E-05,-4.97E-05,-4.99E-05,-5.03E-05,-5.05E-05,1.19E-06,1.29E-07,1.73E-06,-8.12E-08,-2.55E-07,4.44E-07,-9.05E-06,6.16E-06,3.06E-06,-7.87E-07,-6.89E-07,2.77E-06,3.89E-06,7.93E-07,3.76E-06,1.37E-06,1.94E-06,-2.62E-06
-0.000302639,-0.000300065,-0.000298824,-0.000298057,-0.000297496,-0.000297072,-0.000296557,-0.000296348,1.10E-05,3.79E-07,-3.77E-06,1.07E-06,-2.61E-06,1.88E-06,1.51E-05,3.06E-06,0.000181955,-2.60E-06,-2.50E-06,5.76E-06,6.07E-06,-3.25E-06,9.96E-06,1.22E-06,-1.59E-05,3.71E-06
-0.000173533,-0.000172517,-0.000172147,-0.000171546,-0.000170516,-0.0001697,-0.000168932,-0.000168322,-3.66E-05,6.30E-07,-5.39E-06,3.68E-07,9.53E-07,-1.78E-07,2.62E-06,-7.87E-07,-2.60E-06,0.000205266,0.000121692,0.000114014,0.000119985,0.000120333,0.000121614,-6.54E-06,-4.00E-06,-2.81E-06
-0.000195938,-0.000194282,-0.000193525,-0.000192435,-0.000190827,-0.000189184,-0.000187754,-0.000185837,-5.15E-05,4.02E-07,-1.62E-06,7.21E-07,1.86E-06,-2.54E-06,3.56E-06,-6.89E-07,-2.50E-06,0.000121692,0.000233241,0.000118941,0.00012773,0.000122474,0.000128952,-1.46E-05,-8.24E-06,8.45E-07
-9.75E-06,-9.56E-06,-9.02E-06,-8.93E-06,-8.83E-06,-8.85E-06,-8.77E-06,-7.96E-06,-3.74E-05,-1.31E-06,-5.00E-06,-7.64E-08,3.42E-07,-2.10E-06,-2.41E-06,2.77E-06,5.76E-06,0.000114014,0.000118941,0.000526575,0.000129302,0.000123214,0.000129023,-4.53E-06,-5.03E-06,-5.14E-06
-8.74E-05,-8.40E-05,-8.23E-05,-8.06E-05,-7.84E-05,-7.66E-05,-7.46E-05,-7.37E-05,-5.40E-05,-6.81E-07,-1.37E-05,1.10E-07,1.72E-06,-3.24E-06,1.10E-07,3.89E-06,6.07E-06,0.000119985,0.00012773,0.000129302,0.000219456,0.000125628,0.000138391,-1.76E-05,-1.32E-05,5.20E-07
-2.04E-05,-8.55E-06,-2.07E-06,-6.84E-08,9.19E-07,-2.64E-06,1.18E-06,4.27E-06,-3.88E-05,2.51E-07,-2.81E-06,-5.16E-07,1.58E-06,-5.31E-06,-1.64E-06,7.93E-07,-3.25E-06,0.000120333,0.000122474,0.000123214,0.000125628,0.017213077,0.000161639,1.24E-06,-6.91E-06,-0.000144691
-0.000149834,-0.000131973,-0.000125976,-0.000123437,-0.000121775,-0.000120404,-0.000117997,-0.000116385,-5.75E-05,-1.10E-07,-3.37E-06,2.33E-07,1.53E-06,-6.59E-06,2.86E-06,3.76E-06,9.96E-06,0.000121614,0.000128952,0.000129023,0.000138391,0.000161639,0.000724642,-5.32E-06,-1.47E-05,-5.31E-05
-6.59E-06,-5.77E-06,-4.95E-06,-4.07E-06,-3.29E-06,-2.97E-06,-2.76E-06,-4.73E-06,-6.25E-06,2.40E-07,4.02E-06,-4.40E-07,1.43E-06,-2.10E-06,5.91E-06,1.37E-06,1.22E-06,-6.54E-06,-1.46E-05,-4.53E-06,-1.76E-05,1.24E-06,-5.32E-06,0.000131505,5.12E-06,1.47E-05
-0.000259001,-0.000256884,-0.000255391,-0.000254799,-0.000254886,-0.000255455,-0.000257703,-0.000263467,1.81E-06,3.16E-07,9.36E-06,9.76E-07,1.29E-06,3.44E-07,1.37E-05,1.94E-06,-1.59E-05,-4.00E-06,-8.24E-06,-5.03E-06,-1.32E-05,-6.91E-06,-1.47E-05,5.12E-06,0.000127884,1.32E-05
-3.63E-05,-2.91E-05,-2.42E-05,-2.07E-05,-1.84E-05,-1.75E-05,-1.83E-05,-2.47E-05,-1.14E-05,-1.63E-07,-1.41E-05,3.03E-07,1.71E-06,8.47E-07,1.65E-06,-2.62E-06,3.71E-06,-2.81E-06,8.45E-07,-5.14E-06,5.20E-07,-0.000144691,-5.31E-05,1.47E-05,1.32E-05,0.000262088
